epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20231006_172051,1.1505213324980967,767.6060125827789,0.51944,0.05558910788567536
1,20231006_172051,0.39407554897658353,768.2222077846527,0.85246,0.7171085033063566
2,20231006_172051,0.1207362279114897,768.4905023574829,0.95796,0.9601273536452721
3,20231006_172051,0.058897543612800904,768.131233215332,0.98002,0.9810162782604867
4,20231006_172051,0.040108825155126544,768.5887277126312,0.98692,0.9875759712051868
5,20231006_172051,0.025836858727202257,768.2304725646973,0.9917,0.9920618517148336
6,20231006_172051,0.017281632958863723,768.5918941497803,0.99428,0.9945426862888598
7,20231006_172051,0.015400196007891175,769.2846436500549,0.99516,0.9953775019342996
8,20231006_172051,0.012666948500004195,767.4829733371735,0.99578,0.9959941005679758
9,20231006_172051,0.009542861645442822,768.1129932403564,0.99722,0.9973195464735338
10,20231006_172051,0.006787065088393433,768.5993115901947,0.9979,0.997921470798308
11,20231006_172051,0.00769503000716362,767.5383398532867,0.99746,0.9975713895463432
12,20231006_172051,0.0034411996192692737,768.6292269229889,0.99894,0.9990125594375783
13,20231006_172051,0.0035078790644868553,769.2179329395294,0.99884,0.9989102466262751
14,20231006_172051,0.004022051929775358,768.9778563976288,0.99874,0.9987875550541638
15,20231006_172051,0.004814327834858833,768.709089756012,0.99844,0.998447821942807
16,20231006_172051,0.0026213448573982573,767.8378403186798,0.99926,0.9992874678404462
17,20231006_172051,0.0020075771265573215,768.175351858139,0.99944,0.9994778324099933
18,20231006_172051,0.0015259441550328086,769.1386592388153,0.99956,0.999556679268979
19,20231006_172051,0.001041471668871303,768.5907647609711,0.99972,0.9997384013183682
