epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230919_140312,1.321946805715561,115.13093614578247,0.435,0.10466473134263708,1.1333579959869384,7.6327126026153564,0.501,0.5304630281114879
1,20230919_140312,1.0353869434595109,109.79824018478394,0.540875,0.5679486044747664,0.9756097888946533,7.493954420089722,0.5735,0.5998559654077493
2,20230919_140312,0.7010481231212616,109.87768793106079,0.7165,0.7323134314329364,0.7589365826845169,7.314137935638428,0.694,0.7134112165351157
3,20230919_140312,0.3003917840588838,109.82395005226135,0.88875,0.7462351622702726,0.7233912288546562,6.776808023452759,0.761,0.7772998917036622
4,20230919_140312,0.1281984501266852,109.76829743385315,0.955625,0.9579443472411681,0.813590324640274,6.600759029388428,0.76,0.7726549606097534
5,20230919_140312,0.06783229742385447,109.87925314903259,0.97725,0.9784475493438329,0.8491618301868439,6.599219799041748,0.749,0.7692064340087356
6,20230919_140312,0.09159723109495826,109.83174109458923,0.966875,0.9680291529716912,0.8057454036474228,6.720154047012329,0.774,0.7880696490948335
7,20230919_140312,0.06621008086274378,109.93802380561829,0.97625,0.9770956902559893,0.8055940110981464,7.103986740112305,0.7845,0.7979460283968034
8,20230919_140312,0.055362946202745664,109.57889795303345,0.982,0.9828523878147719,1.0746307598650455,7.432857036590576,0.739,0.7478971120406394
9,20230919_140312,0.05778200520575046,109.71283006668091,0.979875,0.9804653084281403,1.0311394147872925,7.197550296783447,0.755,0.7653325913541627
