2023-09-26 03:29:00,624 | train | INFO | --Train 1/10 -- device_num:5
2023-09-26 03:29:00,659 | train | INFO | --Train 1/10 -- device_num:3
2023-09-26 03:29:00,668 | train | INFO | --Train 1/10 -- device_num:7
2023-09-26 03:29:00,685 | train | INFO | --Train 1/10 -- device_num:4
2023-09-26 03:29:00,689 | train | INFO | --Train 1/10 -- device_num:1
2023-09-26 03:29:08,974 | train | INFO | batch: 0/313 loss: 0.6855343580245972 - device_num : 4
2023-09-26 03:29:09,307 | train | INFO | batch: 0/313 loss: 0.8144115209579468 - device_num : 1
2023-09-26 03:29:09,876 | train | INFO | batch: 0/313 loss: 0.9652240872383118 - device_num : 5
2023-09-26 03:29:09,943 | train | INFO | batch: 0/313 loss: 0.6098035573959351 - device_num : 3
2023-09-26 03:29:10,409 | train | INFO | batch: 0/313 loss: 0.7869209051132202 - device_num : 7
2023-09-26 03:29:10,410 | train | INFO | batch: 0/313 loss: 0.9251603484153748 - device_num : 2
2023-09-26 03:29:10,638 | train | INFO | batch: 0/313 loss: 0.9194682240486145 - device_num : 6
2023-09-26 03:29:13,375 | train | INFO | --Train 1/10 -- device_num:0
2023-09-26 03:29:14,938 | train | INFO | batch: 0/313 loss: 1.088951826095581 - device_num : 0
2023-09-26 03:32:22,676 | train | INFO | batch: 100/313 loss: 1.2579894065856934 - device_num : 0
2023-09-26 03:32:22,784 | train | INFO | batch: 100/313 loss: 0.8097395896911621 - device_num : 6
2023-09-26 03:32:22,807 | train | INFO | batch: 100/313 loss: 0.8725563883781433 - device_num : 4
2023-09-26 03:32:22,875 | train | INFO | batch: 100/313 loss: 0.5875990390777588 - device_num : 3
2023-09-26 03:32:22,958 | train | INFO | batch: 100/313 loss: 1.0393377542495728 - device_num : 7
2023-09-26 03:32:23,140 | train | INFO | batch: 100/313 loss: 0.9022800922393799 - device_num : 5
2023-09-26 03:32:23,235 | train | INFO | batch: 100/313 loss: 0.7945578694343567 - device_num : 2
2023-09-26 03:32:23,365 | train | INFO | batch: 100/313 loss: 0.7286098003387451 - device_num : 1
2023-09-26 03:35:06,212 | train | INFO | batch: 200/313 loss: 0.39070138335227966 - device_num : 0
2023-09-26 03:35:06,396 | train | INFO | batch: 200/313 loss: 0.17368873953819275 - device_num : 1
2023-09-26 03:35:06,416 | train | INFO | batch: 200/313 loss: 0.7357848286628723 - device_num : 7
2023-09-26 03:35:06,442 | train | INFO | batch: 200/313 loss: 0.7063493728637695 - device_num : 4
2023-09-26 03:35:06,482 | train | INFO | batch: 200/313 loss: 0.7244539260864258 - device_num : 6
2023-09-26 03:35:06,692 | train | INFO | batch: 200/313 loss: 0.34095051884651184 - device_num : 2
