epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230926_121820,1.1754698433434239,587.6587920188904,0.514,0.1352159797641518,0.9701502770185471,38.42479062080383,0.596,0.6172429445242077
1,20230926_121820,0.5284827888464204,528.6317014694214,0.803,0.8142757896078487,0.7396749220788479,13.706594705581665,0.76,0.7786417940268322
2,20230926_121820,0.1889901571332837,498.5536730289459,0.9366,0.9402949703291297,0.6715012667700648,16.366830587387085,0.796,0.8049589695295506
3,20230926_121820,0.09832564896023192,509.20853304862976,0.9688,0.970356616369099,0.7927366467192769,15.155123710632324,0.8,0.8116111961091302
4,20230926_121820,0.06925972467496658,514.9284400939941,0.9758,0.9771194034538505,0.5660427678376436,14.080904960632324,0.864,0.8693937450283522
5,20230926_121820,0.0642396203334668,516.3329110145569,0.9758,0.9771555684676766,0.7140987860038877,14.818216323852539,0.812,0.8221792487395636
6,20230926_121820,0.04735287385365997,507.570467710495,0.9848,0.9852854888533766,0.647819334641099,16.89421820640564,0.816,0.8252385307570268
7,20230926_121820,0.028869116697802594,506.50860381126404,0.9904,0.9908997271470679,0.6841136668226682,14.530325651168823,0.856,0.8649593921478654
8,20230926_121820,0.025936439487455113,499.9529597759247,0.9922,0.992597500848673,0.6014459850266576,16.10881280899048,0.864,0.8719478606354034
9,20230926_121820,0.029526144102152166,496.41066455841064,0.9912,0.9916380908387058,0.5631247447163332,13.922855138778687,0.86,0.867402374529178
