epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20231002_204625,1.1314648069689035,485.3865416049957,0.52766,0.04241343779653667
1,20231002_204625,0.4307500255077391,479.44568967819214,0.83684,0.5282099719585777
2,20231002_204625,0.22226842134581198,481.72856163978577,0.91769,0.6583283730354298
3,20231002_204625,0.15600619294568704,477.576318025589,0.94302,0.5254503176558617
4,20231002_204625,0.12132634172011214,480.8996272087097,0.95557,0.7981396866566758
5,20231002_204625,0.09815289444097168,478.6341950893402,0.96423,0.9659414547050534
6,20231002_204625,0.08268570986188128,480.09415888786316,0.97028,0.809765672649556
7,20231002_204625,0.06999726518226401,478.60124349594116,0.97485,0.9760202126488317
8,20231002_204625,0.05976218734022297,480.9658751487732,0.97814,0.8160306789650381
9,20231002_204625,0.053447239301012604,479.6909170150757,0.98103,0.8183322153894242
10,20231002_204625,0.04796451081752853,480.59381556510925,0.98283,0.9835655650853843
11,20231002_204625,0.040067929283851555,483.18564009666443,0.98613,0.9867963909258668
12,20231002_204625,0.03762510152238295,481.2515091896057,0.98677,0.8228199061238466
13,20231002_204625,0.03274074775676536,481.7724733352661,0.98848,0.9890660568234688
14,20231002_204625,0.030183158601131625,479.9206030368805,0.98981,0.9902837241413003
15,20231002_204625,0.026360225952480495,481.2597465515137,0.99106,0.9914353624928293
16,20231002_204625,0.02852546786794158,481.5939791202545,0.99017,0.9905872193421171
17,20231002_204625,0.024682605632549853,482.57566499710083,0.99151,0.991850841949147
18,20231002_204625,0.02313985239953765,486.09070801734924,0.992,0.9924066353138998
19,20231002_204625,0.01981102210610076,484.98823857307434,0.99302,0.993359498263494
