epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20231009_002506,1.0945405479892136,466.1570167541504,0.55121,0.051202113151179174
1,20231009_002506,0.3756357646354324,465.3675286769867,0.8584,0.48081147317243456
2,20231009_002506,0.20095457693042656,464.0552771091461,0.92472,0.928551548678014
3,20231009_002506,0.14258531440058939,464.2483401298523,0.94725,0.7913961706230689
4,20231009_002506,0.10612316823104763,462.98407459259033,0.96067,0.9626141463148172
5,20231009_002506,0.08427293527194911,463.3940660953522,0.96928,0.8089609020254903
6,20231009_002506,0.06565533053901647,463.2394416332245,0.97609,0.9773353725849997
7,20231009_002506,0.05619796872844019,465.27304434776306,0.97972,0.9807155707898589
8,20231009_002506,0.046433815391986724,465.84569549560547,0.98361,0.9843952070185322
9,20231009_002506,0.03931417296190396,464.842116355896,0.98594,0.986631187121499
10,20231009_002506,0.032302409049023484,466.0048086643219,0.98861,0.9892367137080322
11,20231009_002506,0.027318565973468944,466.27567529678345,0.99022,0.9907105213633786
12,20231009_002506,0.02456566428139215,465.8265469074249,0.99143,0.9918629148467645
13,20231009_002506,0.021540304298585285,466.30942273139954,0.99241,0.9927875865449305
14,20231009_002506,0.018428908460332877,465.6915671825409,0.99376,0.9940666647725814
15,20231009_002506,0.015248645307815365,466.3640122413635,0.99485,0.9950976225237073
16,20231009_002506,0.012888488861511263,465.93134212493896,0.99562,0.9958714505264211
17,20231009_002506,0.011937577188696208,467.68286538124084,0.99568,0.9959108680831108
18,20231009_002506,0.011172649726081674,466.2193570137024,0.99604,0.9962441653017622
19,20231009_002506,0.008170956061766519,465.60769867897034,0.99713,0.9972795395293573
