epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20231009_151607,0.6107095948164842,758.9390919208527,0.75109,0.1232678317714929
1,20231009_151607,0.12908030006145524,754.6258811950684,0.95357,0.9558925590138608
2,20231009_151607,0.0728026965644356,755.464430809021,0.97418,0.975308029927732
3,20231009_151607,0.05009012618978786,755.9482357501984,0.98242,0.9832727346477169
4,20231009_151607,0.03604966522792833,755.9885878562927,0.98728,0.987854656111925
5,20231009_151607,0.026985241332799267,755.5835566520691,0.99051,0.9909883439553633
6,20231009_151607,0.020713688571844576,754.6190845966339,0.99268,0.9930205859314896
7,20231009_151607,0.0155961082837713,754.5065710544586,0.99484,0.9950881519706671
8,20231009_151607,0.013005849023799306,753.5574281215668,0.99551,0.9956649265406531
9,20231009_151607,0.009633746018020362,753.7609174251556,0.99666,0.9968033044814814
10,20231009_151607,0.007706654645558433,753.4747452735901,0.99723,0.9973560769332112
11,20231009_151607,0.007090911644680641,753.7867872714996,0.99762,0.9977494355886414
12,20231009_151607,0.005949299464745386,753.5414786338806,0.99813,0.9981633806510901
13,20231009_151607,0.0035351547656895525,754.3200657367706,0.99885,0.9988994342466511
14,20231009_151607,0.0037776013780311773,755.3370409011841,0.99875,0.9988143977694847
15,20231009_151607,0.0034210964279132216,754.4876103401184,0.99883,0.9988901319489111
16,20231009_151607,0.0020349951367028486,753.6142053604126,0.99938,0.9994111956607983
17,20231009_151607,0.0019004718018048603,753.8427886962891,0.99936,0.9993966944298374
18,20231009_151607,0.0019811437388797077,754.5192120075226,0.99934,0.9993607197656065
19,20231009_151607,0.0016511775557505983,754.7591879367828,0.99945,0.9994781282515218
