epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20230928_125235,0.8802086003041267,690.3633394241333,0.629,0.12019874525877282
1,20230928_125235,0.23181548019073903,688.3790645599365,0.91696,0.9214069940282574
2,20230928_125235,0.11843341074923053,688.3230712413788,0.959,0.9609816795167377
3,20230928_125235,0.0837182182078436,689.0108366012573,0.9714,0.9726291587238531
4,20230928_125235,0.06602820642440115,689.0071105957031,0.977,0.9779975515423676
5,20230928_125235,0.056763560547258236,689.0212020874023,0.98088,0.981691963011956
6,20230928_125235,0.047746579430704005,688.536027431488,0.98346,0.9842306923533835
7,20230928_125235,0.04499256067546085,687.9230134487152,0.9846,0.9853236886798504
8,20230928_125235,0.0375503805114975,688.7463886737823,0.988,0.9884384611815757
9,20230928_125235,0.035798865484232084,688.6984000205994,0.98778,0.9883237134948513
