epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20230929_043418,0.5891818562583998,1363.1099717617035,0.75723,0.1539640667154393
1,20230929_043418,0.16200983687481843,1356.244277715683,0.94137,0.9442457455434582
2,20230929_043418,0.10478333806191105,1356.1790862083435,0.96202,0.9636981848997073
3,20230929_043418,0.07746299739645096,1358.9812693595886,0.97306,0.9743144710909375
4,20230929_043418,0.06296771673972748,1357.5562150478363,0.97817,0.97912224902638
5,20230929_043418,0.0513498179236686,1355.4123032093048,0.98217,0.9829427765971479
6,20230929_043418,0.043832074483432515,1355.798139333725,0.98507,0.9857040345109983
7,20230929_043418,0.040133129355934216,1355.1512560844421,0.9861,0.9867331233215104
8,20230929_043418,0.03557669238356728,1360.988980293274,0.98814,0.9886500544379725
9,20230929_043418,0.032280040558356704,1359.4930307865143,0.9895,0.9899817001240528
10,20230929_043418,0.02948284356277538,1359.8635337352753,0.99021,0.9905457649830071
11,20230929_043418,0.026865296203213804,1357.562736749649,0.99121,0.9915352562562412
12,20230929_043418,0.02538382612016256,1356.0995423793793,0.99125,0.991637960109282
13,20230929_043418,0.022997848080860785,1355.9414935112,0.99194,0.9922581811247808
14,20230929_043418,0.02198367733650157,1355.5465469360352,0.99269,0.9930015494557338
15,20230929_043418,0.02031864502212542,1356.3437571525574,0.99311,0.9933982108418726
16,20230929_043418,0.01968942634859457,1356.7485754489899,0.99365,0.9938862989850079
17,20230929_043418,0.018989988807502595,1358.2967789173126,0.99368,0.9938969890596281
18,20230929_043418,0.018298214496119836,1355.4514691829681,0.99386,0.9940704261414426
19,20230929_043418,0.016468545060336036,1355.2273926734924,0.99442,0.9946642884365928
