2023-09-28 19:58:35,677 | train | INFO | batch: 400/6250 loss: 0.3357846736907959
2023-09-28 19:58:57,328 | train | INFO | batch: 500/6250 loss: 0.03450049087405205
2023-09-28 19:59:19,219 | train | INFO | batch: 600/6250 loss: 0.005595688242465258
2023-09-28 19:59:40,889 | train | INFO | batch: 700/6250 loss: 0.16445372998714447
2023-09-28 20:00:02,636 | train | INFO | batch: 800/6250 loss: 0.30260905623435974
2023-09-28 20:00:24,387 | train | INFO | batch: 900/6250 loss: 0.054080698639154434
2023-09-28 20:00:46,062 | train | INFO | batch: 1000/6250 loss: 0.18538787961006165
2023-09-28 20:01:07,680 | train | INFO | batch: 1100/6250 loss: 0.010309707373380661
2023-09-28 20:01:29,460 | train | INFO | batch: 1200/6250 loss: 0.1784249246120453
2023-09-28 20:01:51,126 | train | INFO | batch: 1300/6250 loss: 0.04652542248368263
2023-09-28 20:02:12,908 | train | INFO | batch: 1400/6250 loss: 0.10993877798318863
2023-09-28 20:02:34,580 | train | INFO | batch: 1500/6250 loss: 0.11037465184926987
2023-09-28 20:02:56,375 | train | INFO | batch: 1600/6250 loss: 0.024921301752328873
2023-09-28 20:03:17,988 | train | INFO | batch: 1700/6250 loss: 0.16967663168907166
2023-09-28 20:03:39,792 | train | INFO | batch: 1800/6250 loss: 0.29202622175216675
2023-09-28 20:04:01,448 | train | INFO | batch: 1900/6250 loss: 0.1808113306760788
2023-09-28 20:04:23,166 | train | INFO | batch: 2000/6250 loss: 0.08065731823444366
2023-09-28 20:04:44,849 | train | INFO | batch: 2100/6250 loss: 0.33595961332321167
2023-09-28 20:05:06,644 | train | INFO | batch: 2200/6250 loss: 0.07698441296815872
2023-09-28 20:05:28,284 | train | INFO | batch: 2300/6250 loss: 0.1491401344537735
2023-09-28 20:05:49,991 | train | INFO | batch: 2400/6250 loss: 0.1584845930337906
2023-09-28 20:06:11,639 | train | INFO | batch: 2500/6250 loss: 0.23382917046546936
2023-09-28 20:06:33,464 | train | INFO | batch: 2600/6250 loss: 0.27145326137542725
2023-09-28 20:06:55,075 | train | INFO | batch: 2700/6250 loss: 0.2682669162750244
2023-09-28 20:07:16,912 | train | INFO | batch: 2800/6250 loss: 0.07382053881883621
2023-09-28 20:07:38,550 | train | INFO | batch: 2900/6250 loss: 0.08178270608186722
2023-09-28 20:08:00,300 | train | INFO | batch: 3000/6250 loss: 0.08000253140926361
2023-09-28 20:08:21,895 | train | INFO | batch: 3100/6250 loss: 0.17210820317268372
2023-09-28 20:08:43,591 | train | INFO | batch: 3200/6250 loss: 0.098997563123703
2023-09-28 20:09:05,154 | train | INFO | batch: 3300/6250 loss: 0.010045371949672699
2023-09-28 20:09:26,836 | train | INFO | batch: 3400/6250 loss: 0.3089427649974823
2023-09-28 20:09:48,568 | train | INFO | batch: 3500/6250 loss: 0.05136656388640404
2023-09-28 20:10:10,249 | train | INFO | batch: 3600/6250 loss: 0.19245851039886475
2023-09-28 20:10:31,932 | train | INFO | batch: 3700/6250 loss: 0.004827520344406366
2023-09-28 20:10:53,604 | train | INFO | batch: 3800/6250 loss: 0.1085578203201294
2023-09-28 20:11:15,270 | train | INFO | batch: 3900/6250 loss: 0.37230563163757324
2023-09-28 20:11:36,979 | train | INFO | batch: 4000/6250 loss: 0.12640394270420074
2023-09-28 20:11:58,618 | train | INFO | batch: 4100/6250 loss: 0.6720269322395325
2023-09-28 20:12:20,282 | train | INFO | batch: 4200/6250 loss: 0.012481548823416233
2023-09-28 20:12:41,929 | train | INFO | batch: 4300/6250 loss: 0.15036039054393768
2023-09-28 20:13:03,644 | train | INFO | batch: 4400/6250 loss: 0.2236042022705078
2023-09-28 20:13:25,425 | train | INFO | batch: 4500/6250 loss: 0.01932593248784542
2023-09-28 20:13:47,084 | train | INFO | batch: 4600/6250 loss: 0.06081799417734146
2023-09-28 20:14:08,768 | train | INFO | batch: 4700/6250 loss: 0.14220759272575378
2023-09-28 20:14:30,399 | train | INFO | batch: 4800/6250 loss: 0.09368927776813507
2023-09-28 20:14:52,175 | train | INFO | batch: 4900/6250 loss: 0.048245951533317566
2023-09-28 20:15:13,821 | train | INFO | batch: 5000/6250 loss: 0.17818786203861237
2023-09-28 20:15:35,552 | train | INFO | batch: 5100/6250 loss: 0.009628885425627232
2023-09-28 20:15:57,141 | train | INFO | batch: 5200/6250 loss: 0.3664257824420929
2023-09-28 20:16:18,880 | train | INFO | batch: 5300/6250 loss: 0.011331445537507534
2023-09-28 20:16:40,691 | train | INFO | batch: 5400/6250 loss: 0.12381371855735779
2023-09-28 20:17:02,431 | train | INFO | batch: 5500/6250 loss: 0.408823698759079
2023-09-28 20:17:24,017 | train | INFO | batch: 5600/6250 loss: 0.09305921196937561
2023-09-28 20:17:45,763 | train | INFO | batch: 5700/6250 loss: 0.06793361157178879
2023-09-28 20:18:07,378 | train | INFO | batch: 5800/6250 loss: 0.1679237335920334
2023-09-28 20:18:29,063 | train | INFO | batch: 5900/6250 loss: 0.48062625527381897
2023-09-28 20:18:50,607 | train | INFO | batch: 6000/6250 loss: 0.028051503002643585
