epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230915_131726,1.3229932508468627,112.42540287971497,0.433125,0.10423104551467968,1.2492823934555053,7.738785266876221,0.4285,0.43217143164400273
1,20230915_131726,1.0119856395125388,113.94214296340942,0.554625,0.5805895048294986,0.9920323290824891,6.853313684463501,0.5825,0.6115635803821846
2,20230915_131726,0.6531066440939903,114.4555025100708,0.74125,0.6305104534262297,0.7671167588233948,7.677991628646851,0.706,0.6002603264998948
3,20230915_131726,0.2783654007650912,114.26162767410278,0.89525,0.7506183934580181,0.861551719903946,6.966350555419922,0.7165,0.7307540154767298
4,20230915_131726,0.10131041439250112,114.65712642669678,0.966375,0.9683188315812805,1.097269067645073,7.9489147663116455,0.7095,0.7304766709329856
5,20230915_131726,0.07466133939486462,114.61620450019836,0.975125,0.9764030743770039,0.8851605826616287,6.922768831253052,0.742,0.7609103201217895
6,20230915_131726,0.08044918160932138,114.2923686504364,0.973,0.9740130319320922,0.897205437362194,7.682485818862915,0.767,0.7800370542787698
7,20230915_131726,0.07508590469195042,114.2067220211029,0.97225,0.9733255315884058,0.7759687720537186,6.836092472076416,0.7935,0.8073629641708091
8,20230915_131726,0.049853219042386626,114.26920366287231,0.985,0.9859341908346517,1.0720221127271652,7.4523234367370605,0.7255,0.7444208675597922
9,20230915_131726,0.04170694863295648,114.29645037651062,0.98575,0.9864445815596193,0.9058567611277103,7.33013391494751,0.796,0.8079324271810183
