epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230918_234836,1.3206489698886872,117.51264595985413,0.432625,0.08814408855824118,1.1506065936088563,7.841392755508423,0.483,0.49875468213308805
1,20230918_234836,0.9803333756327629,111.21205997467041,0.57975,0.6038303250327877,0.9598692102432251,7.211962461471558,0.608,0.6254078227171528
2,20230918_234836,0.5877026148438453,111.50593972206116,0.77275,0.7855578153750817,0.8728001384735108,6.822387218475342,0.673,0.6858526495873634
3,20230918_234836,0.1925883568394929,111.4669406414032,0.93125,0.9349289376192932,0.8461091101169587,6.848886489868164,0.744,0.7611583144891959
4,20230918_234836,0.07963772300165146,111.51433515548706,0.975125,0.9763734710742293,0.9740285941958428,7.701429128646851,0.735,0.7530274234818723
5,20230918_234836,0.031005331092805136,111.198970079422,0.990625,0.9910795306225536,0.9139687147736549,7.899629831314087,0.757,0.7738736756227501
6,20230918_234836,0.09445406434987672,111.2203905582428,0.967625,0.9683009447276751,0.877760343849659,7.26054310798645,0.76,0.775069035475058
7,20230918_234836,0.053144048471644056,111.5580506324768,0.98125,0.9823662139092647,1.035197701573372,6.872531414031982,0.743,0.7549695039599171
8,20230918_234836,0.04059199076591176,111.28919887542725,0.986875,0.9871234467972693,0.9514314621798694,6.894073724746704,0.762,0.7812455653637495
9,20230918_234836,0.07165416761211237,111.57307863235474,0.97525,0.9763123037375891,0.8969778569042682,7.195770502090454,0.74,0.754860067033577
