epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230924_223543,0.9219639117509126,559.0202672481537,0.611275,0.1168803128584919,0.6224700994491578,7.4451539516448975,0.7665,0.7827080157562836
1,20230924_223543,0.2559543747097254,554.1457085609436,0.90655,0.911175974892819,0.5898124896585941,7.4350457191467285,0.833,0.8440235131665
2,20230924_223543,0.12419216818104033,553.4087357521057,0.956575,0.958584214143079,0.5362751270085573,7.060379981994629,0.851,0.8599569530156568
3,20230924_223543,0.0917040984560037,554.7342488765717,0.9688,0.9702821931577654,0.5480601204000414,7.576191663742065,0.8605,0.8706152296119519
4,20230924_223543,0.07272713135490776,554.9223909378052,0.974475,0.9755032764452458,0.5558846678473055,7.142138719558716,0.873,0.8827663971506331
5,20230924_223543,0.060703388039860876,554.5747816562653,0.979725,0.9805117812411451,0.5705290090292692,7.490073204040527,0.8795,0.8881464603959233
6,20230924_223543,0.05538796758627432,554.3936097621918,0.9812,0.9819727537776052,0.5466641278862954,7.381428003311157,0.875,0.8844189287135075
7,20230924_223543,0.04720061098022852,553.7395541667938,0.984325,0.9849081222138387,0.5639904507175088,7.4403674602508545,0.8825,0.8896225014924111
8,20230924_223543,0.043189084319298854,553.9698932170868,0.9855,0.986083074981251,0.5843910819939337,7.064829111099243,0.881,0.8890374109633713
9,20230924_223543,0.03932747265512153,554.2601277828217,0.9873,0.9877737885820828,0.5384742087237537,6.628502368927002,0.878,0.887676039003303
