2023-09-27 09:30:49,476 | train | INFO | Set Logger /content/results/train/20230927_183049
2023-09-27 09:30:49,568 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-27 09:31:06,583 | train | INFO | Load data, train:40000 val:2000--device_num:0
2023-09-27 09:31:06,811 | train | INFO | Load data, train:40000 val:2000--device_num:2
2023-09-27 09:31:06,996 | train | INFO | Load data, train:40000 val:2000--device_num:5
2023-09-27 09:31:07,470 | train | INFO | Load data, train:40000 val:2000--device_num:4
2023-09-27 09:31:07,840 | train | INFO | Load data, train:40000 val:2000--device_num:3
2023-09-27 09:31:07,879 | train | INFO | --Train 0/10 -- device_num:0
2023-09-27 09:31:08,935 | train | INFO | Load data, train:40000 val:2000--device_num:6
2023-09-27 09:31:09,254 | train | INFO | Load data, train:40000 val:2000--device_num:7
2023-09-27 09:31:09,808 | train | INFO | --Train 0/10 -- device_num:2
2023-09-27 09:31:12,222 | train | INFO | --Train 0/10 -- device_num:5
2023-09-27 09:31:14,210 | train | INFO | --Train 0/10 -- device_num:4
2023-09-27 09:31:16,180 | train | INFO | --Train 0/10 -- device_num:3
2023-09-27 09:31:16,460 | train | INFO | Load data, train:40000 val:2000--device_num:1
2023-09-27 09:31:18,149 | train | INFO | --Train 0/10 -- device_num:6
2023-09-27 09:31:19,466 | train | INFO | batch: 0/313 loss: 8.796009063720703 - device_num : 2
2023-09-27 09:31:19,468 | train | INFO | batch: 0/313 loss: 8.579265594482422 - device_num : 5
2023-09-27 09:31:19,469 | train | INFO | batch: 0/313 loss: 8.962077140808105 - device_num : 0
2023-09-27 09:31:19,486 | train | INFO | batch: 0/313 loss: 8.706995010375977 - device_num : 3
2023-09-27 09:31:19,492 | train | INFO | batch: 0/313 loss: 8.427480697631836 - device_num : 4
2023-09-27 09:31:19,831 | train | INFO | --Train 0/10 -- device_num:7
2023-09-27 09:31:21,989 | train | INFO | --Train 0/10 -- device_num:1
2023-09-27 09:31:22,118 | train | INFO | batch: 0/313 loss: 8.7989501953125 - device_num : 6
2023-09-27 09:31:25,628 | train | INFO | batch: 0/313 loss: 8.437182426452637 - device_num : 7
2023-09-27 09:31:26,414 | train | INFO | batch: 0/313 loss: 8.40436840057373 - device_num : 1
2023-09-27 09:34:56,132 | train | INFO | batch: 100/313 loss: 1.4547030925750732 - device_num : 6
2023-09-27 09:34:56,141 | train | INFO | batch: 100/313 loss: 1.4062222242355347 - device_num : 5
2023-09-27 09:34:56,146 | train | INFO | batch: 100/313 loss: 1.3342503309249878 - device_num : 0
2023-09-27 09:34:56,146 | train | INFO | batch: 100/313 loss: 1.418546199798584 - device_num : 7
2023-09-27 09:34:56,228 | train | INFO | batch: 100/313 loss: 1.2925100326538086 - device_num : 2
2023-09-27 09:34:56,302 | train | INFO | batch: 100/313 loss: 1.3469109535217285 - device_num : 4
2023-09-27 09:34:56,324 | train | INFO | batch: 100/313 loss: 1.3236225843429565 - device_num : 3
2023-09-27 09:34:56,356 | train | INFO | batch: 100/313 loss: 1.455503225326538 - device_num : 1
2023-09-27 09:37:43,138 | train | INFO | batch: 200/313 loss: 0.8535854816436768 - device_num : 4
2023-09-27 09:37:43,201 | train | INFO | batch: 200/313 loss: 1.3075084686279297 - device_num : 0
2023-09-27 09:37:43,223 | train | INFO | batch: 200/313 loss: 1.0801372528076172 - device_num : 2
2023-09-27 09:37:43,265 | train | INFO | batch: 200/313 loss: 1.0148649215698242 - device_num : 5
2023-09-27 09:37:43,386 | train | INFO | batch: 200/313 loss: 0.9503836035728455 - device_num : 6
2023-09-27 09:37:43,399 | train | INFO | batch: 200/313 loss: 0.9355210661888123 - device_num : 3
