epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230919_142855,1.327406163930893,110.42962169647217,0.42475,0.09784448385395417,1.1398432693481446,7.521267890930176,0.496,0.5049439492516038
1,20230919_142855,1.0187016295194626,109.43626379966736,0.558875,0.487254960098888,1.019233681678772,7.103436708450317,0.5775,0.6000076617181171
2,20230919_142855,0.6441688658893109,109.79330730438232,0.74275,0.6308131116843375,0.9353207124471664,6.6660120487213135,0.667,0.6818903342411173
3,20230919_142855,0.25265952955000104,109.70492553710938,0.908,0.912649650589017,0.8511907877922058,6.632833957672119,0.701,0.726910045428651
4,20230919_142855,0.10118081125896423,110.03038763999939,0.967125,0.9689205210255842,0.8132830457389355,6.74644923210144,0.7665,0.7838086435084082
5,20230919_142855,0.0788092129130382,109.9156801700592,0.9735,0.9744172310254673,0.8462749441862106,7.8509180545806885,0.767,0.7810834181220535
6,20230919_142855,0.06286650574224768,109.8096113204956,0.97925,0.9803779542567664,1.1103837050497531,7.152992486953735,0.7165,0.7304912163177245
7,20230919_142855,0.06932360890286508,109.84271264076233,0.97525,0.9766664975393986,1.0417273149490356,6.75187349319458,0.72,0.7364068744509014
8,20230919_142855,0.05677746365955681,109.74572420120239,0.9795,0.9801403377731519,1.0622663145065308,6.595231533050537,0.7655,0.7750993942807376
9,20230919_142855,0.06068635659254505,109.88058257102966,0.97975,0.9804054144516948,1.0474486401677132,6.539005517959595,0.7395,0.7563488079884065
