epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230915_125543,1.3212039090394974,112.67230415344238,0.426625,0.10750780666412404,1.192379738330841,7.54161810874939,0.4725,0.4781330995912206
1,20230915_125543,1.0211391183137895,113.74952483177185,0.55375,0.5789371647826272,0.9650673561096191,7.00230860710144,0.5745,0.5822672465179717
2,20230915_125543,0.6683274578750134,114.14579653739929,0.726875,0.7431646777035323,0.9784273076057434,7.283963918685913,0.6255,0.6354753055315501
3,20230915_125543,0.2867931723147631,114.06478500366211,0.897,0.9025381438568401,0.7491468761563301,7.329882383346558,0.7495,0.7619590894011194
4,20230915_125543,0.11139864831510932,114.16229391098022,0.9605,0.9627693800194441,0.8804791679382324,7.008196115493774,0.754,0.7736209307396774
