epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20231006_160438,1.0955262400610062,760.4804267883301,0.55102,0.07008945384627767
1,20231006_160438,0.38404508887806815,759.7488834857941,0.86268,0.8702956187965919
2,20231006_160438,0.1337938624460374,759.0051908493042,0.95548,0.9578525702512695
3,20231006_160438,0.07355187970030186,758.6164352893829,0.97524,0.976436402580861
4,20231006_160438,0.04060315428292165,759.2035102844238,0.98712,0.987669147750428
5,20231006_160438,0.02771322703396287,759.5063638687134,0.99092,0.9914079156027851
6,20231006_160438,0.029707524648276838,751.015044927597,0.99032,0.9906300532275409
7,20231006_160438,0.02823754710019054,752.1666848659515,0.99118,0.9915854759282432
8,20231006_160438,0.017285208438125338,759.4243383407593,0.99446,0.9947601307767128
9,20231006_160438,0.015318546600192023,758.8787748813629,0.99514,0.9953514749179586
10,20231006_160438,0.01800721475129228,759.2536127567291,0.99414,0.9943014965253024
11,20231006_160438,0.01467026815579399,759.6497411727905,0.99524,0.995395515373972
12,20231006_160438,0.008317590781921923,758.8764138221741,0.9973,0.9973975229747672
13,20231006_160438,0.011838258179078829,759.1490530967712,0.99598,0.9961189431738056
14,20231006_160438,0.011413403966403364,758.8247330188751,0.9964,0.996589899788914
15,20231006_160438,0.012350094854533065,759.1232492923737,0.9955,0.995651065102634
16,20231006_160438,0.007064246162681369,759.7405812740326,0.99774,0.9978674663616962
17,20231006_160438,0.003744907180175466,759.3749008178711,0.99896,0.9989695932532708
18,20231006_160438,0.0066488650909168265,759.262237071991,0.9978,0.9978734503327628
19,20231006_160438,0.010464685708050654,759.3909947872162,0.9968,0.9969905179452034
