epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230927_141151,1.2174972686142966,526.6066551208496,0.4864,0.13563514453897457,1.114643506705761,29.19004201889038,0.492,0.5127605483940038
1,20230927_141151,0.5815285260137468,503.8455276489258,0.7696,0.7826186637295808,0.7978127263486385,14.950521469116211,0.768,0.7783545448674171
2,20230927_141151,0.2010057140290499,534.4857940673828,0.9274,0.9314373608435718,0.6990167405456305,16.774649381637573,0.82,0.8284610272109131
3,20230927_141151,0.11114332262618533,506.45489501953125,0.9632,0.9642457400559833,0.6233574943616986,15.615596294403076,0.856,0.8603634574380845
4,20230927_141151,0.0720269498850454,511.5086109638214,0.9748,0.9764266699981043,0.5945404371013865,15.725179672241211,0.852,0.8614776590465505
5,20230927_141151,0.056858474158305534,507.27808570861816,0.9784,0.9795697829228919,0.7110830610617995,14.405525207519531,0.844,0.8528013637349396
6,20230927_141151,0.06417809957455206,511.14924120903015,0.9796,0.980706060335055,0.6617651688866317,14.116516828536987,0.848,0.855458819982086
7,20230927_141151,0.04443501163496838,514.4411871433258,0.9834,0.9840811045856229,0.684549069032073,13.976167440414429,0.86,0.8660357014916119
8,20230927_141151,0.04570984058699514,515.0151965618134,0.9866,0.9870857236190563,0.7450578551506624,14.170475006103516,0.864,0.8698449712071806
9,20230927_141151,0.03943278288617306,515.1962895393372,0.9862,0.9868595764092571,0.6625666395993903,12.991763353347778,0.856,0.8661969281170412
