2023-09-27 05:21:16,283 | train | INFO | --Train 1/10 -- device_num:2
2023-09-27 05:21:16,290 | train | INFO | --Train 1/10 -- device_num:6
2023-09-27 05:21:16,294 | train | INFO | --Train 1/10 -- device_num:4
2023-09-27 05:21:16,331 | train | INFO | Write row 0
2023-09-27 05:21:16,368 | train | INFO | --Train 1/10 -- device_num:1
2023-09-27 05:21:24,538 | train | INFO | batch: 0/313 loss: 0.9087247848510742 - device_num : 4
2023-09-27 05:21:25,126 | train | INFO | batch: 0/313 loss: 1.002387285232544 - device_num : 5
2023-09-27 05:21:26,256 | train | INFO | batch: 0/313 loss: 0.7738151550292969 - device_num : 1
2023-09-27 05:21:26,483 | train | INFO | batch: 0/313 loss: 0.8910076022148132 - device_num : 7
2023-09-27 05:21:26,559 | train | INFO | batch: 0/313 loss: 0.859824538230896 - device_num : 3
2023-09-27 05:21:26,559 | train | INFO | batch: 0/313 loss: 0.9928619861602783 - device_num : 6
2023-09-27 05:21:26,561 | train | INFO | batch: 0/313 loss: 0.8160255551338196 - device_num : 2
2023-09-27 05:21:29,678 | train | INFO | --Train 1/10 -- device_num:0
2023-09-27 05:21:31,177 | train | INFO | batch: 0/313 loss: 0.8941819667816162 - device_num : 0
2023-09-27 05:24:12,707 | train | INFO | batch: 100/313 loss: 0.9660243391990662 - device_num : 0
2023-09-27 05:24:12,749 | train | INFO | batch: 100/313 loss: 0.7487748265266418 - device_num : 4
2023-09-27 05:24:12,761 | train | INFO | batch: 100/313 loss: 0.7469632029533386 - device_num : 7
2023-09-27 05:24:12,804 | train | INFO | batch: 100/313 loss: 0.7470026016235352 - device_num : 6
2023-09-27 05:24:12,873 | train | INFO | batch: 100/313 loss: 0.8721705079078674 - device_num : 2
2023-09-27 05:24:12,931 | train | INFO | batch: 100/313 loss: 0.8876513242721558 - device_num : 5
2023-09-27 05:24:12,943 | train | INFO | batch: 100/313 loss: 0.7310180068016052 - device_num : 3
2023-09-27 05:24:12,958 | train | INFO | batch: 100/313 loss: 1.235432505607605 - device_num : 1
2023-09-27 05:26:53,740 | train | INFO | batch: 200/313 loss: 0.644736111164093 - device_num : 3
2023-09-27 05:26:53,766 | train | INFO | batch: 200/313 loss: 0.14491744339466095 - device_num : 2
2023-09-27 05:26:53,770 | train | INFO | batch: 200/313 loss: 0.8292888402938843 - device_num : 7
2023-09-27 05:26:53,787 | train | INFO | batch: 200/313 loss: 0.5711003541946411 - device_num : 5
2023-09-27 05:26:53,820 | train | INFO | batch: 200/313 loss: 0.43674546480178833 - device_num : 0
2023-09-27 05:26:53,825 | train | INFO | batch: 200/313 loss: 0.4930134415626526 - device_num : 6
2023-09-27 05:26:53,829 | train | INFO | batch: 200/313 loss: 0.29859888553619385 - device_num : 4
2023-09-27 05:26:54,180 | train | INFO | batch: 200/313 loss: 0.2235053926706314 - device_num : 1
2023-09-27 05:29:39,948 | train | INFO | batch: 300/313 loss: 0.2830430269241333 - device_num : 3
2023-09-27 05:29:39,971 | train | INFO | batch: 300/313 loss: 0.2854119539260864 - device_num : 0
2023-09-27 05:29:39,974 | train | INFO | batch: 300/313 loss: 0.8005291223526001 - device_num : 5
2023-09-27 05:29:39,974 | train | INFO | batch: 300/313 loss: 0.08177745342254639 - device_num : 4
2023-09-27 05:29:39,980 | train | INFO | batch: 300/313 loss: 0.30395516753196716 - device_num : 6
2023-09-27 05:29:39,981 | train | INFO | batch: 300/313 loss: 0.09049318730831146 - device_num : 2
2023-09-27 05:29:39,984 | train | INFO | batch: 300/313 loss: 0.3562774360179901 - device_num : 7
2023-09-27 05:29:39,987 | train | INFO | batch: 300/313 loss: 0.4024088680744171 - device_num : 1
2023-09-27 05:29:53,337 | train | INFO | --Val 1/10 -- device_num:7
2023-09-27 05:29:53,355 | train | INFO | --Val 1/10 -- device_num:6
2023-09-27 05:29:53,428 | train | INFO | --Val 1/10 -- device_num:3
2023-09-27 05:29:53,548 | train | INFO | --Val 1/10 -- device_num:0
2023-09-27 05:29:53,582 | train | INFO | --Val 1/10 -- device_num:2
2023-09-27 05:29:53,599 | train | INFO | --Val 1/10 -- device_num:4
2023-09-27 05:29:53,624 | train | INFO | --Val 1/10 -- device_num:1
2023-09-27 05:29:53,672 | train | INFO | --Val 1/10 -- device_num:5
2023-09-27 05:29:58,677 | train | INFO | batch: 0/16 loss: 0.34829068183898926 - device_num : 4
2023-09-27 05:29:58,928 | train | INFO | batch: 0/16 loss: 0.4308396875858307 - device_num : 3
2023-09-27 05:29:59,608 | train | INFO | batch: 0/16 loss: 0.7700917720794678 - device_num : 7
2023-09-27 05:29:59,640 | train | INFO | batch: 0/16 loss: 0.3516978323459625 - device_num : 6
2023-09-27 05:30:00,529 | train | INFO | batch: 0/16 loss: 0.7705090641975403 - device_num : 0
2023-09-27 05:30:00,703 | train | INFO | batch: 0/16 loss: 0.6239154934883118 - device_num : 5
2023-09-27 05:30:00,780 | train | INFO | batch: 0/16 loss: 0.6682565808296204 - device_num : 2
2023-09-27 05:30:01,065 | train | INFO | batch: 0/16 loss: 1.4859280586242676 - device_num : 1
2023-09-27 05:30:07,634 | train | INFO | --Train 2/10 -- device_num:3
2023-09-27 05:30:07,893 | train | INFO | --Train 2/10 -- device_num:6
2023-09-27 05:30:07,947 | train | INFO | --Train 2/10 -- device_num:7
2023-09-27 05:30:08,112 | train | INFO | --Train 2/10 -- device_num:4
2023-09-27 05:30:08,345 | train | INFO | --Train 2/10 -- device_num:2
2023-09-27 05:30:08,385 | train | INFO | --Train 2/10 -- device_num:5
2023-09-27 05:30:08,423 | train | INFO | --Train 2/10 -- device_num:1
2023-09-27 05:30:08,583 | train | INFO | Write row 1
2023-09-27 05:30:14,262 | train | INFO | batch: 0/313 loss: 0.333612322807312 - device_num : 3
2023-09-27 05:30:16,411 | train | INFO | batch: 0/313 loss: 0.3753364682197571 - device_num : 6
2023-09-27 05:30:16,764 | train | INFO | batch: 0/313 loss: 0.6772354245185852 - device_num : 4
2023-09-27 05:30:17,472 | train | INFO | batch: 0/313 loss: 0.21964114904403687 - device_num : 1
2023-09-27 05:30:17,994 | train | INFO | batch: 0/313 loss: 0.16610169410705566 - device_num : 7
2023-09-27 05:30:18,256 | train | INFO | batch: 0/313 loss: 0.3565818667411804 - device_num : 5
2023-09-27 05:30:18,597 | train | INFO | batch: 0/313 loss: 0.5885096788406372 - device_num : 2
2023-09-27 05:30:21,465 | train | INFO | --Train 2/10 -- device_num:0
2023-09-27 05:30:23,971 | train | INFO | batch: 0/313 loss: 0.3809501528739929 - device_num : 0
2023-09-27 05:33:06,753 | train | INFO | batch: 100/313 loss: 0.13976699113845825 - device_num : 6
2023-09-27 05:33:06,834 | train | INFO | batch: 100/313 loss: 0.2869429588317871 - device_num : 4
2023-09-27 05:33:06,928 | train | INFO | batch: 100/313 loss: 0.39430052042007446 - device_num : 5
2023-09-27 05:33:06,930 | train | INFO | batch: 100/313 loss: 0.46216973662376404 - device_num : 0
2023-09-27 05:33:07,012 | train | INFO | batch: 100/313 loss: 0.4018777310848236 - device_num : 1
2023-09-27 05:33:07,014 | train | INFO | batch: 100/313 loss: 0.17221572995185852 - device_num : 3
2023-09-27 05:33:07,117 | train | INFO | batch: 100/313 loss: 0.38774773478507996 - device_num : 7
2023-09-27 05:33:07,135 | train | INFO | batch: 100/313 loss: 0.11255248636007309 - device_num : 2
2023-09-27 05:36:15,755 | train | INFO | batch: 200/313 loss: 0.041579268872737885 - device_num : 2
2023-09-27 05:36:15,961 | train | INFO | batch: 200/313 loss: 0.03280990943312645 - device_num : 5
2023-09-27 05:36:16,052 | train | INFO | batch: 200/313 loss: 0.4302181005477905 - device_num : 3
2023-09-27 05:36:16,110 | train | INFO | batch: 200/313 loss: 0.21083198487758636 - device_num : 4
2023-09-27 05:36:16,174 | train | INFO | batch: 200/313 loss: 0.1158628985285759 - device_num : 6
2023-09-27 05:36:16,254 | train | INFO | batch: 200/313 loss: 0.30098164081573486 - device_num : 0
2023-09-27 05:36:16,261 | train | INFO | batch: 200/313 loss: 0.011614268645644188 - device_num : 1
2023-09-27 05:36:16,594 | train | INFO | batch: 200/313 loss: 0.48096907138824463 - device_num : 7
2023-09-27 05:39:03,678 | train | INFO | batch: 300/313 loss: 0.19399476051330566 - device_num : 2
2023-09-27 05:39:03,691 | train | INFO | batch: 300/313 loss: 0.04026371240615845 - device_num : 1
2023-09-27 05:39:03,698 | train | INFO | batch: 300/313 loss: 0.08939531445503235 - device_num : 6
2023-09-27 05:39:03,771 | train | INFO | batch: 300/313 loss: 0.18953312933444977 - device_num : 5
2023-09-27 05:39:03,808 | train | INFO | batch: 300/313 loss: 0.048423126339912415 - device_num : 4
2023-09-27 05:39:03,856 | train | INFO | batch: 300/313 loss: 0.1633591502904892 - device_num : 3
2023-09-27 05:39:03,948 | train | INFO | batch: 300/313 loss: 0.2706696391105652 - device_num : 7
2023-09-27 05:39:04,017 | train | INFO | batch: 300/313 loss: 0.21779292821884155 - device_num : 0
2023-09-27 05:39:15,908 | train | INFO | --Val 2/10 -- device_num:5
2023-09-27 05:39:15,914 | train | INFO | --Val 2/10 -- device_num:2
2023-09-27 05:39:15,933 | train | INFO | --Val 2/10 -- device_num:3
2023-09-27 05:39:15,946 | train | INFO | --Val 2/10 -- device_num:1
2023-09-27 05:39:15,955 | train | INFO | --Val 2/10 -- device_num:4
2023-09-27 05:39:15,957 | train | INFO | --Val 2/10 -- device_num:0
2023-09-27 05:39:15,960 | train | INFO | --Val 2/10 -- device_num:7
2023-09-27 05:39:15,992 | train | INFO | --Val 2/10 -- device_num:6
2023-09-27 05:39:22,287 | train | INFO | batch: 0/16 loss: 0.37983739376068115 - device_num : 4
2023-09-27 05:39:23,642 | train | INFO | batch: 0/16 loss: 0.8639436364173889 - device_num : 7
2023-09-27 05:39:23,698 | train | INFO | batch: 0/16 loss: 0.3015856444835663 - device_num : 3
2023-09-27 05:39:23,816 | train | INFO | batch: 0/16 loss: 0.4688614308834076 - device_num : 5
2023-09-27 05:39:24,568 | train | INFO | batch: 0/16 loss: 1.0135561227798462 - device_num : 1
2023-09-27 05:39:24,832 | train | INFO | batch: 0/16 loss: 0.7900576591491699 - device_num : 0
2023-09-27 05:39:24,862 | train | INFO | batch: 0/16 loss: 0.6696805357933044 - device_num : 2
2023-09-27 05:39:24,956 | train | INFO | batch: 0/16 loss: 0.5296774506568909 - device_num : 6
2023-09-27 05:39:32,305 | train | INFO | --Train 3/10 -- device_num:4
2023-09-27 05:39:32,669 | train | INFO | --Train 3/10 -- device_num:6
2023-09-27 05:39:32,689 | train | INFO | --Train 3/10 -- device_num:5
2023-09-27 05:39:32,703 | train | INFO | --Train 3/10 -- device_num:7
2023-09-27 05:39:32,732 | train | INFO | --Train 3/10 -- device_num:1
2023-09-27 05:39:32,790 | train | INFO | Write row 2
2023-09-27 05:39:32,791 | train | INFO | --Train 3/10 -- device_num:2
2023-09-27 05:39:32,781 | train | INFO | --Train 3/10 -- device_num:3
2023-09-27 05:39:37,467 | train | INFO | batch: 0/313 loss: 0.25650954246520996 - device_num : 4
2023-09-27 05:39:39,673 | train | INFO | batch: 0/313 loss: 0.06277463585138321 - device_num : 7
2023-09-27 05:39:40,214 | train | INFO | batch: 0/313 loss: 0.30798202753067017 - device_num : 3
2023-09-27 05:39:41,233 | train | INFO | batch: 0/313 loss: 0.04219595715403557 - device_num : 1
2023-09-27 05:39:41,296 | train | INFO | batch: 0/313 loss: 0.017707837745547295 - device_num : 5
2023-09-27 05:39:41,554 | train | INFO | batch: 0/313 loss: 0.03203249350190163 - device_num : 2
