epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20231002_185015,0.5016673791751074,1538.777595281601,0.79743,0.16832147688663865
1,20231002_185015,0.12133232161116288,1554.407252073288,0.95697,0.9590394431689724
2,20231002_185015,0.07839613012423707,1555.7144076824188,0.97231,0.9736099840118504
3,20231002_185015,0.05839956668604716,1555.6588697433472,0.97983,0.9806671261174275
4,20231002_185015,0.0470947100751109,1545.6934368610382,0.9838,0.9844785548077916
5,20231002_185015,0.039723729169389675,1555.1348915100098,0.98639,0.9869404828231145
6,20231002_185015,0.034159802756086224,1556.321836233139,0.98861,0.9890553687815432
7,20231002_185015,0.032293888005120557,1555.6782820224762,0.98896,0.9894079099843293
8,20231002_185015,0.027061355517840183,1555.7081952095032,0.99119,0.9915163904277005
9,20231002_185015,0.0262409115037021,1555.0334317684174,0.9912,0.9915597897134443
10,20231002_185015,0.022851422455077947,1553.996613740921,0.9924,0.9926954880731671
11,20231002_185015,0.0217915539163313,1554.297597169876,0.99282,0.9930745111219134
12,20231002_185015,0.020103277042093238,1555.2056939601898,0.9934,0.9936961703066849
13,20231002_185015,0.01808790744572771,1553.5854558944702,0.99405,0.9942587815216001
14,20231002_185015,0.017778363563581298,1553.066778421402,0.9944,0.9945952166304535
15,20231002_185015,0.017907653930570824,1553.282105922699,0.99437,0.9945484554926223
16,20231002_185015,0.015841052096450713,1553.0741167068481,0.99463,0.994852190320838
