epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro
0,20231002_234150,0.7934219190074355,546.1472859382629,0.68562,0.07170739188039399
1,20231002_234150,0.18064897080592793,545.8705365657806,0.93516,0.7819944482770897
2,20231002_234150,0.09878660618658643,547.3171074390411,0.96471,0.8054181485110008
3,20231002_234150,0.0681599231003343,544.9316630363464,0.97608,0.9772290077385497
4,20231002_234150,0.053147611925807185,546.819226026535,0.98157,0.9824669636233297
5,20231002_234150,0.04364678536034416,546.702276468277,0.98436,0.985089447239473
6,20231002_234150,0.03477598672367685,547.1335844993591,0.98795,0.988530373417913
7,20231002_234150,0.03177907616968917,547.9493408203125,0.98913,0.9896550314414945
8,20231002_234150,0.0262014833935465,545.7888300418854,0.9909,0.9912720493102223
9,20231002_234150,0.021851212211029755,548.1636369228363,0.99257,0.9929309373547011
10,20231002_234150,0.021854287130496752,545.8951737880707,0.99283,0.9931708918701011
11,20231002_234150,0.02164228041486605,546.3836851119995,0.99264,0.9929559286982634
12,20231002_234150,0.018198932091149627,548.7913160324097,0.99391,0.9941900433403765
13,20231002_234150,0.016138584560515475,545.4474756717682,0.99443,0.9946608653282254
14,20231002_234150,0.015349675398616208,548.2055847644806,0.99485,0.9950816595120193
15,20231002_234150,0.013959138389130312,546.037299156189,0.99537,0.9955375896495662
16,20231002_234150,0.014777665700312168,548.0801453590393,0.99495,0.9951537017231227
17,20231002_234150,0.013018975074290146,545.7131536006927,0.99534,0.9955476199847881
18,20231002_234150,0.011540219300820895,546.1949982643127,0.99613,0.9962856986077135
19,20231002_234150,0.012676917977072164,548.846773147583,0.99594,0.9960706613477219
